Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;clustering;triangles;eigencentrality;componentnumber
"автозаводской проезд";10;10;4;0.333718;0.355729;0;0.007883;0.007883;1;0.000472;1;45;0.052884;0
3-й бадаевский проезд;10;10;4;0.333718;0.355729;0;0.007883;0.007883;1;0.000472;1;45;0.052884;0
"московское шоссе";67;67;4;0.425208;0.467416;0.009853;0.037857;0.037857;1;0.002367;0.263229;582;0.273164;0
"витебский проспект";53;53;3;0.425835;0.461169;0.005036;0.030922;0.030922;1;0.0018;0.368627;470;0.231586;0
"проспект космонавтов";31;31;4;0.379597;0.412726;0.00132;0.016944;0.016944;1;0.001106;0.501149;218;0.127571;0
2-й парковый мост;23;23;5;0.325695;0.355017;0;0.020468;0.020468;0;0.000784;1;253;0.114286;0
"введенская улица";42;42;5;0.352869;0.388485;0.001393;0.023848;0.023848;0;0.001408;0.603949;520;0.148273;0
"ординарная улица";23;23;5;0.325695;0.355017;0;0.020468;0.020468;0;0.000784;1;253;0.114286;0
"песочная набережная";25;25;5;0.325695;0.355017;0;0.020468;0.020468;0;0.000786;0.992754;274;0.116712;0
"барочная улица";23;23;5;0.325695;0.355017;0;0.020468;0.020468;0;0.000784;1;253;0.114286;0
"улица профессора попова";23;23;5;0.325695;0.355017;0;0.020468;0.020468;0;0.000784;1;253;0.114286;0
"вяземский переулок";23;23;5;0.325695;0.355017;0;0.020468;0.020468;0;0.000784;1;253;0.114286;0
"каменноостровский мост";23;23;5;0.325695;0.355017;0;0.020468;0.020468;0;0.000784;1;253;0.114286;0
"чернореченский мост";43;43;5;0.376465;0.414148;0.000833;0.046564;0.046564;0;0.001306;0.636766;575;0.245243;0
"белоостровская улица";56;56;5;0.386536;0.4302;0.00235;0.061164;0.061164;0;0.00166;0.463636;714;0.320263;0
"вазаский переулок";56;56;5;0.386536;0.4302;0.00235;0.061164;0.061164;0;0.00166;0.463636;714;0.320263;0
"исполкомская улица";36;36;5;0.376465;0.413091;0.000254;0.049271;0.049271;0;0.001102;0.655556;413;0.249496;0
"новгородская улица";41;41;4;0.385162;0.42128;0.000469;0.05943;0.05943;0;0.001228;0.59878;491;0.295991;0
"улица моисеенко";26;26;5;0.36784;0.399058;0;0.035767;0.035767;0;0.000838;1;325;0.181761;0
"суворовский проспект";89;89;4;0.418234;0.472222;0.006746;0.116563;0.116563;0;0.002495;0.340909;1335;0.585295;0
"площадь пролетарской диктатуры";56;56;4;0.392485;0.436082;0.002845;0.076553;0.076553;0;0.001625;0.435714;671;0.390187;0
"тверская улица";83;83;4;0.432635;0.481161;0.024835;0.068928;0.068928;7;0.002495;0.319181;1060;0.412471;0
"таврическая улица";26;26;5;0.36784;0.399058;0;0.035767;0.035767;0;0.000838;1;325;0.181761;0
"шпалерная улица";42;42;5;0.377449;0.416551;0.000533;0.05935;0.05935;0;0.001258;0.599303;516;0.296881;0
"гагаринская улица";26;26;5;0.36784;0.399058;0;0.035767;0.035767;0;0.000838;1;325;0.181761;0
"улица пестеля";26;26;5;0.36784;0.399058;0;0.035767;0.035767;0;0.000838;1;325;0.181761;0
"набережная реки мойки";26;26;5;0.36784;0.399058;0;0.035767;0.035767;0;0.000838;1;325;0.181761;0
"набережная лебяжьей канавки";38;38;4;0.401947;0.434737;0.001128;0.043857;0.043857;0;0.001217;0.608819;428;0.228145;0
"миллионная улица";26;26;5;0.36784;0.399058;0;0.035767;0.035767;0;0.000838;1;325;0.181761;0
"суворовская площадь";26;26;5;0.36784;0.399058;0;0.035767;0.035767;0;0.000838;1;325;0.181761;0
"троицкий мост";38;38;4;0.401947;0.434737;0.001128;0.043857;0.043857;0;0.001217;0.608819;428;0.228145;0
"двинская улица";57;57;4;0.417831;0.457997;0.004654;0.070078;0.070078;0;0.00175;0.465584;717;0.360329;0
"гутуевский мост";29;29;4;0.399355;0.429642;0.00179;0.027511;0.027511;0;0.001088;0.502463;204;0.152019;0
"набережная обводного канала";47;47;4;0.407616;0.443003;0.012595;0.030005;0.030005;6;0.001806;0.355556;368;0.177124;0
"садовая улица";99;99;4;0.484087;0.527201;0.052648;0.069423;0.069423;1;0.003394;0.204502;972;0.442252;0
"площадь тургенева";27;27;4;0.392485;0.423491;0.000574;0.03563;0.03563;0;0.000931;0.581197;204;0.181842;0
"сенная площадь";32;32;4;0.393376;0.425029;0.001158;0.032345;0.032345;1;0.001092;0.540323;268;0.183477;0
"улица куйбышева";14;14;4;0.364899;0.387543;0;0.011809;0.011809;0;0.000594;1;91;0.06579;0
"сампсониевский мост";14;14;4;0.364899;0.387543;0;0.011809;0.011809;0;0.000594;1;91;0.06579;0
"финляндский проспект";14;14;4;0.364899;0.387543;0;0.011809;0.011809;0;0.000594;1;91;0.06579;0
"большой сампсониевский проспект";44;44;4;0.406279;0.441273;0.010569;0.02355;0.02355;0;0.001569;0.41649;394;0.153562;0
"боткинская улица";14;14;4;0.364899;0.387543;0;0.011809;0.011809;0;0.000594;1;91;0.06579;0
"пискарёвский проспект";105;105;4;0.444615;0.498558;0.014686;0.113691;0.11369;3;0.003034;0.286968;1537;0.612198;0
