Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
"дорога в рентгено";2;2;15;0.16927;0.194162;0;0.027447;0.027447;18;0.000678;0;1;1;0.164136
"песочное шоссе";3;3;14;0.181229;0.212856;0.012871;0.067782;0.067782;18;0.000935;0;0.333333;1;0.293125
"школьная улица";7;7;13;0.174026;0.205526;0.038483;0.056263;0.056262;9;0.001925;0;0;0;0.343838
"оранжерейная улица";6;6;14;0.185336;0.217073;0.019302;0.047868;0.047868;18;0.001693;0;0.133333;2;0.381381
"софийский бульвар";3;3;15;0.168317;0.195187;0.000247;0.030209;0.030208;18;0.000891;0;0.333333;1;0.223824
"сельская улица";2;2;15;0.164391;0.188398;0.002729;0.017237;0.017237;18;0.000795;0;0;0;0.127162
"водопадная улица";3;3;15;0.164704;0.189994;0.014022;0.017676;0.017676;18;0.001238;0;0;0;0.136319
"железнодорожная улица";10;10;14;0.178432;0.211083;0.023398;0.053486;0.053485;18;0.002802;0;0.111111;5;0.402762
"петербургское шоссе";7;7;14;0.175222;0.210176;0.021866;0.040648;0.040648;13;0.001949;0;0;0;0.3598
"привокзальная площадь";9;9;14;0.189633;0.226147;0.071517;0.041262;0.041262;18;0.002601;0;0.055556;2;0.397058
"пушкин";6;6;14;0.186974;0.219161;0.039695;0.054608;0.054608;3;0.000975;0;0;0;0.409626
"автомобильная дорога а121";2;2;13;0.181952;0.212316;0.011834;0.055585;0.055585;16;0.000659;0;0;0;0.271375
"комсомольская улица";2;2;15;0.164329;0.188245;0.003144;0.017192;0.017192;18;0.00079;0;0;0;0.127121
"улица аммермана";2;2;16;0.143948;0.160594;0.001233;0.004781;0.004781;13;0.000852;0;0;0;0.038164
"проспект ленина";19;19;13;0.195535;0.241919;0.12388;0.170915;0.170915;13;0.006091;0;0.023392;4;0.805647
"большой проспект";2;2;15;0.159375;0.180191;0.000326;0.011302;0.011302;18;0.0007;0;0;0;0.077522
"улица восстания";4;4;14;0.174622;0.201531;0.023075;0.031592;0.031591;6;0.001393;0;0;0;0.169556
"макаровская улица";2;2;14;0.163739;0.187735;0.00337;0.02774;0.02774;13;0.000837;0;0;0;0.134169
"волхонское шоссе";7;7;14;0.178616;0.212502;0.027028;0.05292;0.05292;13;0.00234;0;0.095238;2;0.321355
"улица первого мая";6;6;14;0.171073;0.201124;0.016908;0.053905;0.053905;13;0.002099;0;0.066667;1;0.242349
"гатчинское шоссе";2;2;14;0.16377;0.187793;0.006904;0.02772;0.02772;13;0.000901;0;0;0;0.134061
"красносельское шоссе";11;11;14;0.189467;0.226433;0.040305;0.080672;0.080671;13;0.003668;0;0.036364;2;0.437806
"кингисепское шоссе";1;1;14;0.163585;0.186582;0;0.02701;0.02701;13;0.000445;0;0;0;0.127138
"улица свободы";1;1;14;0.163585;0.186582;0;0.02701;0.02701;13;0.000445;0;0;0;0.127138
"улица освобождения";2;2;14;0.163708;0.187639;0.004608;0.02772;0.02772;13;0.000918;0;0;0;0.13373
"бульвар победы";3;3;13;0.173261;0.19824;0.008556;0.032112;0.032112;14;0.000991;0;0;0;0.175295
"колпинское шоссе";7;7;13;0.180625;0.21214;0.036877;0.045371;0.045371;14;0.002407;0;0.047619;1;0.297365
"вокзальная улица";4;4;14;0.180512;0.21237;0.022355;0.084402;0.084402;13;0.001356;0;0.166667;1;0.324809
"приморское шоссе";19;19;12;0.1979;0.246098;0.158405;0.245836;0.245836;16;0.005502;0;0.035088;6;0.99408
"пухтоловская дорога";2;2;14;0.163647;0.187351;0.000324;0.033999;0.033998;13;0.000761;0;0;0;0.154363
"улица танкистов";4;4;13;0.176831;0.205441;0.034387;0.037587;0.037586;14;0.001261;0;0.166667;1;0.227301
"дорога на огоньки";4;4;14;0.179577;0.210596;0.008479;0.082144;0.082144;13;0.001407;0;0.166667;1;0.311514
