лиговский проспект, ново-каменный мост
лиговский проспект, расстанная улица
лиговский проспект, воздухоплавательная улица
лиговский проспект, набережная обводного канала
лиговский проспект, курская улица
площадь восстания, невский проспект
невский проспект, малая морская улица
невский проспект, дворцовый проезд
невский проспект, улица александра невского
невский проспект, площадь александра невского
невский проспект, исполкомская улица
невский проспект, суворовский проспект
невский проспект, мост александра невского
невский проспект, садовая улица
малая морская улица, исаакиевская площадь
исаакиевская площадь, конногвардейский бульвар
исаакиевская площадь, вознесенский проспект
конногвардейский бульвар, площадь труда
конногвардейский бульвар, набережная крюкова канала
площадь труда, набережная крюкова канала
площадь труда, благовещенский мост
набережная крюкова канала, улица глинки
набережная крюкова канала, большая морская улица
улица глинки, большая морская улица
улица глинки, поцелуев мост
привокзальная площадь, кронштадтская улица
привокзальная площадь, привокзальная улица
привокзальная площадь, улица труда
привокзальная площадь, октябрьская улица
привокзальная площадь, садовая улица
привокзальная площадь, улица аврова
привокзальная площадь, озерковая улица
привокзальная площадь, луизинская улица
кронштадтская улица, дворцовый проспект
кронштадтская улица, корабельная улица
кронштадтская улица, автовская улица
дворцовый проспект, манежный спуск
дворцовый проспект, морская улица
дворцовый проспект, краснофлотское шоссе
манежный спуск, манежная улица
манежный спуск, еленинская улица
манежная улица, еленинская улица
еленинская улица, владимирская улица
еленинская улица, михайловская улица
еленинская улица, иликовский проспект
владимирская улица, александровская улица
александровская улица, ораниенбаумский проспект
александровская улица, улица победы
александровская улица, михайловская улица
александровская улица, иликовский проспект
ораниенбаумский проспект, полигонный переулок
полигонный переулок, улица победы
привокзальная улица, большой проспект
привокзальная улица, железнодорожная улица
привокзальная улица, ленинградское шоссе
улица аммермана, петровская улица
петровская улица, красная улица
красная улица, макаровская улица
улица литке, цитадельское шоссе
морская улица, улица жоры антоненко
морская улица, ораниенбаумское шоссе
улица жоры антоненко, улица связи
улица связи, улица кипренского
улица кипренского, павловский проспект
павловский проспект, безымянный переулок
безымянный переулок, песочная улица
песочная улица, улица мира
улица мира, кронверкская улица
улица мира, улица котовского
русановская улица, октябрьская набережная
октябрьская набережная, проспект большевиков
октябрьская набережная, народная улица
октябрьская набережная, малоохтинский проспект
октябрьская набережная, володарский мост
проспект большевиков, дальневосточный проспект
проспект большевиков, народная улица
проспект большевиков, улица дыбенко
проспект большевиков, улица тельмана
